mutant,operator,info,status
 202,COI,nayajson:233,killed by test_string_parsing
 203,COI,nayajson:236,killed by test_string_parsing
 204,COI,nayajson:239,killed by test_string_parsing
 205,COI,nayajson:242,killed by test_string_parsing
 206,COI,nayajson:245,killed by test_string_parsing
 207,COI,nayajson:248,killed by test_string_parsing
 208,COI,nayajson:251,killed by test_string_parsing
 209,COI,nayajson:256,killed by test_string_parsing
 210,COI,nayajson:257,killed by test_string_parsing
 211,COI,nayajson:257,killed by test_string_parsing
 212,COI,nayajson:259,killed by test_string_parsing
 213,COI,nayajson:259,killed by test_string_parsing
 214,COI,nayajson:261,killed by test_string_parsing
 215,COI,nayajson:261,killed by test_string_parsing
 216,COI,nayajson:267,killed by test_string_parsing
 217,COI,nayajson:268,killed by test_string_parsing
 218,COI,nayajson:268,killed by test_string_parsing
 219,COI,nayajson:270,killed by test_string_parsing
 220,COI,nayajson:270,killed by test_string_parsing
 221,COI,nayajson:272,killed by test_string_parsing
 222,COI,nayajson:272,killed by test_string_parsing
 223,COI,nayajson:278,killed by test_string_parsing
 224,COI,nayajson:279,killed by test_string_parsing
 225,COI,nayajson:279,killed by test_string_parsing
 226,COI,nayajson:281,killed by test_string_parsing
 227,COI,nayajson:281,killed by test_string_parsing
 228,COI,nayajson:283,+survived
 229,COI,nayajson:283,+survived
 230,COI,nayajson:289,killed by test_string_parsing
 231,COI,nayajson:290,killed by test_string_parsing
 232,COI,nayajson:290,killed by test_string_parsing
 233,COI,nayajson:292,killed by test_string_parsing
 234,COI,nayajson:292,killed by test_string_parsing
 235,COI,nayajson:294,killed by test_string_parsing
 236,COI,nayajson:294,killed by test_string_parsing
 237,COI,nayajson:301,killed by test_arrays
 238,COI,nayajson:307,killed by test_arrays
 239,COI,nayajson:312,killed by test_arrays
 240,COI,nayajson:316,timeout
 241,COI,nayajson:320,killed by test_arrays
 242,COI,nayajson:339,+survived
 243,COI,nayajson:345,killed by test_arrays
 244,COI,nayajson:346,killed by test_arrays
 245,COI,nayajson:348,killed by test_arrays
 246,COI,nayajson:360,killed by test_arrays
 247,COI,nayajson:361,killed by test_arrays
 248,COI,nayajson:362,killed by test_arrays
 249,COI,nayajson:363,killed by test_arrays
 250,COI,nayajson:364,killed by test_arrays
 251,COI,nayajson:365,killed by test_arrays
 252,COI,nayajson:367,killed by test_arrays
 253,COI,nayajson:369,killed by test_arrays
 254,COI,nayajson:373,killed by test_arrays
 255,COI,nayajson:374,killed by test_arrays
 256,COI,nayajson:375,killed by test_arrays
 257,COI,nayajson:377,killed by test_arrays
 258,COI,nayajson:383,killed by test_arrays
 259,COI,nayajson:385,killed by test_arrays
 260,COI,nayajson:387,killed by test_arrays
 261,COI,nayajson:389,killed by test_objects
 262,COI,nayajson:391,killed by test_objects
 263,COI,nayajson:395,killed by test_objects
 264,COI,nayajson:397,killed by test_objects
 265,COI,nayajson:399,killed by test_objects
 266,COI,nayajson:405,+survived
 267,COI,nayajson:411,killed by test_arrays
 268,COI,nayajson:412,killed by test_objects
 269,COI,nayajson:413,killed by test_objects
 270,COI,nayajson:414,killed by test_objects
 271,COI,nayajson:415,killed by test_objects
 272,COI,nayajson:417,killed by test_objects
 273,COI,nayajson:419,killed by test_objects
 274,COI,nayajson:421,killed by test_objects
 275,COI,nayajson:425,killed by test_objects
 276,COI,nayajson:426,killed by test_objects
 277,COI,nayajson:427,+survived
 278,COI,nayajson:429,+survived
 279,COI,nayajson:433,killed by test_objects
 280,COI,nayajson:437,killed by test_objects
 281,COI,nayajson:439,killed by test_objects
 282,COI,nayajson:441,killed by test_objects
 283,COI,nayajson:443,killed by test_objects
 284,COI,nayajson:445,killed by test_objects
 285,COI,nayajson:449,killed by test_objects
 286,COI,nayajson:451,killed by test_objects
 287,COI,nayajson:453,killed by test_objects
 288,COI,nayajson:457,+survived
 289,COI,nayajson:461,killed by test_arrays
 290,COI,nayajson:462,killed by test_objects
 291,COI,nayajson:463,killed by test_objects
 292,COI,nayajson:464,killed by test_objects
 293,COI,nayajson:467,killed by test_objects
 294,COI,nayajson:469,killed by test_objects
 295,COI,nayajson:471,killed by test_objects
 296,COI,nayajson:475,killed by test_objects
 297,COI,nayajson:480,killed by test_objects
 298,COI,nayajson:482,killed by test_objects
 299,COI,nayajson:483,killed by test_objects
 300,COI,nayajson:484,killed by test_objects
 301,COI,nayajson:486,killed by test_objects
 302,COI,nayajson:497,killed by test_arrays
 303,COI,nayajson:499,+survived
 304,COI,nayajson:506,killed by test_arrays
 305,CRP,nayajson:3  ,killed by test_arrays
 306,CRP,nayajson:4  ,killed by test_sequence
 307,CRP,nayajson:5  ,killed by test_sequence
 308,CRP,nayajson:6  ,killed by test_sequence
 309,CRP,nayajson:7  ,killed by test_sequence
 310,CRP,nayajson:9  ,killed by test_number_parsing
 311,CRP,nayajson:10 ,killed by test_number_parsing
 312,CRP,nayajson:11 ,killed by test_number_parsing
 313,CRP,nayajson:12 ,killed by test_number_parsing
 314,CRP,nayajson:13 ,killed by test_number_parsing
 315,CRP,nayajson:14 ,killed by test_number_parsing
 316,CRP,nayajson:15 ,-survived
 317,CRP,nayajson:16 ,killed by test_arrays
 318,CRP,nayajson:17 ,killed by test_string_parsing
